customer_state,total_reviews,average_review_score,five_star_reviews,one_star_reviews,critical_dissatisfaction_rate_pct
RR,45,3.577777777777778,19,9,20.0
AL,409,3.7555012224938875,194,71,17.359413202933986
MA,741,3.7624831309041835,350,130,17.543859649122805
SE,346,3.8179190751445087,176,62,17.91907514450867
PA,963,3.8473520249221185,481,154,15.991692627206646
CE,1324,3.8549848942598186,671,209,15.785498489425981
BA,3340,3.8586826347305387,1631,502,15.029940119760479
RJ,12690,3.8747044917257685,6888,2169,17.092198581560282
PI,485,3.917525773195876,251,71,14.63917525773196
PE,1640,4.009146341463414,915,221,13.475609756097562
PB,526,4.019011406844107,296,64,12.167300380228136
GO,2010,4.040298507462687,1100,232,11.54228855721393
ES,2002,4.042957042957043,1102,241,12.03796203796204
AC,81,4.049382716049383,45,7,8.641975308641975
RO,250,4.06,142,24,9.6
DF,2135,4.067915690866511,1205,253,11.850117096018735
SC,3609,4.073981712385702,2052,410,11.360487669714603
TO,278,4.093525179856115,151,26,9.352517985611511
MT,894,4.10738255033557,508,91,10.17897091722595
RN,477,4.121593291404612,279,52,10.90146750524109
MS,716,4.128491620111732,426,78,10.893854748603351
RS,5449,4.134336575518444,3188,557,10.222059093411636
MG,11546,4.135371557249264,6801,1200,10.393209769617183
AM,145,4.172413793103448,87,12,8.275862068965518
SP,41399,4.174641899562792,24968,4023,9.717626029614241
PR,5010,4.18183632734531,3003,469,9.361277445109781
AP,67,4.1940298507462686,34,3,4.477611940298507
