year,month,month_name,total_orders,total_product_revenue,total_freight_revenue,total_gross_revenue,average_order_value
2016,9,September,3,267.36,87.39,354.75,118.25
2016,10,October,308,49507.66,7301.18,56808.84,184.444285
2016,12,December,1,10.9,8.72,19.62,19.62
2017,1,January,789,120312.87,16875.62,137188.49,173.876413
2017,2,February,1733,247303.02,38977.6,286280.62,165.193664
2017,3,March,2641,374344.3,57704.29,432048.59,163.592801
2017,4,April,2391,359927.23,52495.01,412422.24,172.489435
2017,5,May,3660,506071.14,80119.81,586190.95,160.161461
2017,6,June,3217,433038.6,69924.44,502963.04,156.345365
2017,7,July,3969,498031.48,86940.14,584971.62,147.385139
2017,8,August,4293,573971.68,94232.92,668204.6,155.649802
2017,9,September,4243,624401.69,95997.22,720398.91,169.785272
2017,10,October,4568,664219.43,105092.94,769312.37,168.41339
2017,11,November,7451,1010271.37,168872.4,1179143.77,158.253089
2017,12,December,5624,743914.17,119633.06,863547.23,153.546804
2018,1,January,7220,950030.36,157271.53,1107301.89,153.365912
2018,2,February,6694,844178.71,142730.25,986908.96,147.431873
2018,3,March,7188,983213.44,171913.38,1155126.82,160.702117
2018,4,April,6934,996647.75,163050.29,1159698.04,167.248058
2018,5,May,6853,996517.68,153264.14,1149781.82,167.777881
2018,6,June,6160,865124.31,157552.8,1022677.11,166.019011
2018,7,July,6273,895507.22,163220.81,1058728.03,168.775391
2018,8,August,6452,854686.33,148622.14,1003308.47,155.503482
2018,9,September,1,145.0,21.46,166.46,166.46
