product_category,total_items_sold,total_revenue,average_item_price,average_freight_cost
"health_beauty",9670,1258681.34,130.16353,18.879703
"watches_gifts",5991,1205005.68,201.135983,16.78116
"bed_bath_table",11115,1036988.68,93.296327,18.415928
"sports_leisure",8641,988048.97,114.344285,19.512499
"computers_accessories",7827,911954.32,116.513903,18.821781
"furniture_decor",8334,729762.49,87.564493,20.728257
"cool_stuff",3796,635290.85,167.357968,22.138856
"housewares",6964,632248.66,90.788147,20.986374
"auto",4235,592720.11,139.957523,21.880569
"garden_tools",4347,485256.46,111.630195,22.765757
"toys",4117,483946.6,117.54836,18.8064
"baby",3065,411764.89,134.344172,22.301177
"perfumery",3419,399124.87,116.737312,15.856636
"telephony",4545,323667.53,71.213977,15.66904
"office_furniture",1691,273960.7,162.011058,40.551123
"stationery",2517,230943.23,91.753369,18.592959
"computers",203,222963.13,1098.340541,48.454679
"pet_shop",1947,214315.41,110.074684,20.319075
"musical_instruments",680,191498.88,281.616,27.409544
"small_appliances",679,190648.58,280.778468,23.593888
Unknown,1603,179535.28,111.99955,17.573181
"electronics",2767,160246.74,57.91353,16.833509
"consoles_games",1137,157465.22,138.491838,17.438891
"fashion_bags_accessories",2031,152823.54,75.245465,15.484982
"construction_tools_construction",929,144677.59,155.734757,22.228643
"luggage_accessories",1092,140429.98,128.598882,27.880247
"home_appliances_2",238,113317.74,476.124957,44.538571
"home_construction",604,83088.12,137.563112,22.901059
"home_appliances",771,80171.53,103.983826,19.220363
"agro_industry_and_commerce",212,72530.47,342.124858,27.56415
"furniture_living_room",503,68916.56,137.011053,35.722007
"fixed_telephony",264,59583.0,225.693181,17.567462
"home_confort",434,58572.04,134.958617,19.588087
"air_conditioning",297,55024.96,185.269225,22.72468
"audio",364,50688.5,139.25412,15.688021
"small_appliances_home_oven_and_coffee",76,47445.71,624.285657,36.156052
"books_general_interest",553,46856.88,84.732151,16.628426
"kitchen_dining_laundry_garden_furniture",281,46328.37,164.869644,42.702597
"construction_tools_lights",304,41080.0,135.131578,24.94671
"construction_tools_safety",194,40544.52,208.992371,20.201546
"industry_commerce_and_business",268,39669.61,148.020932,29.420447
"food",510,29393.41,57.634137,14.256921
"market_place",311,28378.47,91.249099,17.543601
"costruction_tools_garden",238,25715.89,108.049957,22.316806
"art",209,24202.64,115.802105,19.35488
"fashion_shoes",262,23562.77,89.934236,18.774312
"drinks",379,22428.7,59.178627,15.148416
"signaling_and_security",199,21509.23,108.086582,32.702613
"furniture_bedroom",109,20028.78,183.750275,42.497522
"books_technical",267,19096.06,71.520823,16.041423
"costruction_tools_tools",103,15903.95,154.407281,19.710873
"food_drink",278,15179.48,54.602446,16.215791
"fashion_male_clothing",132,10797.82,81.801666,16.306136
"fashion_underwear_beach",131,9541.55,72.836259,14.627404
"christmas_supplies",153,8800.82,57.521699,21.106535
"tablets_printing_image",83,7528.41,90.703734,14.773493
"cine_photo",72,6933.46,96.298055,17.447222
"music",38,6034.35,158.798684,18.171315
"dvds_blu_ray",64,5999.39,93.740468,20.136562
"books_imported",60,4639.85,77.330833,12.830833
"party_supplies",43,4485.18,104.306511,19.255116
"furniture_mattress_and_upholstery",38,4368.08,114.949473,42.906842
portateis_cozinha_e_preparadores_de_alimentos,15,3968.53,264.568666,20.650666
"fashio_female_clothing",48,2803.64,58.409166,12.953125
"fashion_sport",30,2119.51,70.650333,19.271
"la_cuisine",14,2054.99,146.785,23.825
"arts_and_craftmanship",24,1814.01,75.58375,15.422083
"diapers_and_hygiene",39,1567.59,40.194615,14.709743
pc_gamer,9,1545.95,171.772222,14.841111
"flowers",33,1110.04,33.637575,14.814242
"home_comfort_2",30,760.27,25.342333,13.677
"cds_dvds_musicals",14,730.0,52.142857,16.070714
"fashion_childrens_clothes",8,569.85,71.23125,11.93875
security_and_services,2,283.29,141.645,20.61
